time,area_h1,area_h2,area_h3,area_h4,area_h5
0,210002.41363166,9999.3965920843,9999.3965920844,9999.3965920843,9999.3965920844
25000,210003.71913837,9999.0702151952,9999.0702153047,9999.0702155058,9999.0702156176
50000,210004.94687514,9998.763280886,9998.7632810655,9998.7632813692,9998.7632815421
75000,210005.33726848,9998.665682089,9998.6656826365,9998.665683213,9998.6656835836
100000,210004.32785817,9998.9180348319,9998.9180348718,9998.9180358064,9998.9180363203
125000,210001.78876832,9999.552807353,9999.5528070449,9999.5528084862,9999.5528087964
150000,209997.93121454,10000.517195805,10000.517195529,10000.517196995,10000.517197133
175000,209993.12730191,10001.718174084,10001.718173535,10001.718175226,10001.718175239
200000,209987.74744434,10003.063138566,10003.063137741,10003.063139686,10003.063139667
225000,209982.07221947,10004.481944807,10004.481943894,10004.481945937,10004.481945892
250000,209976.27804215,10005.930489109,10005.9304882,10005.930490312,10005.930490229
275000,209970.45887376,10007.385281219,10007.38528031,10007.38528241,10007.385282298
300000,209964.65357199,10008.836606672,10008.836605775,10008.836607859,10008.836607702
325000,209958.86362064,10010.28409594,10010.284092088,10010.284095407,10010.284095924
350000,209953.07619787,10011.730953359,10011.73094591,10011.730950793,10011.730952067
375000,209947.25777882,10013.185557901,10013.185550926,10013.18555563,10013.18555672
400000,209941.35525119,10014.661189589,10014.661183063,10014.661187615,10014.661188538
425000,209935.30547963,10016.17363227,10016.173626152,10016.173630584,10016.173631356
450000,209929.03522,10017.741196984,10017.741191233,10017.741195573,10017.741196206
475000,209922.4670224,10019.3832462,10019.383240779,10019.383245059,10019.383245565
500000,209915.52647307,10021.118383363,10021.118378228,10021.118382474,10021.118382866
525000,209908.14891412,10022.962772949,10022.962768056,10022.962772292,10022.962772581
550000,209900.28426082,10024.928936138,10024.928931449,10024.928935698,10024.928935892
575000,209891.89949576,10027.025127279,10027.025122767,10027.025127043,10027.025127154
600000,209882.97914221,10029.25521556,10029.255211184,10029.255215504,10029.255215542
625000,209873.52429327,10031.6189277,10031.618923434,10031.618927808,10031.618927781
650000,209863.55073811,10034.112316409,10034.112312231,10034.112316666,10034.112316583
675000,209853.08658126,10036.728355563,10036.728351433,10036.728355939,10036.728355808
700000,209842.16959539,10039.457601979,10039.457597883,10039.457602457,10039.457602285
725000,209830.84446215,10042.288885247,10042.288881176,10042.288885815,10042.288885608
750000,209819.16001141,10045.209997897,10045.209993843,10045.209998542,10045.209998308
775000,209807.1665808,10048.208355519,10048.208351478,10048.208356226,10048.208355973
800000,209794.91363496,10051.271591956,10051.271587924,10051.271592712,10051.271592447
825000,209782.44777669,10054.388056502,10054.388052481,10054.388057298,10054.388057024
850000,209769.81125772,10057.547186236,10057.547182215,10057.547187054,10057.547186777
875000,209757.04102299,10060.739744904,10060.739740892,10060.739745743,10060.739745465
900000,209744.16827152,10063.957932764,10063.957928763,10063.957933614,10063.957933339
925000,209731.21902039,10067.195245916,10067.195240975,10067.195246006,10067.195246714
