time,area_h1,area_h2,area_h3,area_h4,area_h5
0,208002.41363166,9999.3965920843,3499.3965920844,11899.396592084,16599.396592084
25000,208003.1783403,9999.1799498216,3498.8703380116,11899.335405418,16599.435966447
50000,207997.91877112,10000.416991465,3499.1492177339,11901.051527961,16601.46349172
75000,207984.846464,10003.546232108,3500.5697059276,11905.035144748,16606.002453211
100000,207967.18261307,10007.789636316,3502.6893113434,11910.340448078,16611.997991194
125000,207947.97537193,10012.409842387,3505.0743794378,11916.078221715,16618.462184528
150000,207928.4568885,10017.107542825,3507.5330567688,11921.895433288,16625.00707862
175000,207908.72927787,10021.856296786,3510.0276720087,11927.771256445,16631.615496892
200000,207888.37802212,10026.754842262,3512.5967580681,11933.83453139,16638.435846158
225000,207866.72853659,10031.965590731,3515.3259925355,11940.28603664,16645.693843505
250000,207843.00665286,10037.675860773,3518.3260962139,11947.35138958,16653.640000571
275000,207816.53314587,10044.050320971,3521.6985065847,11955.226874668,16662.491151901
300000,207786.90086558,10051.187700428,3525.5043102797,11964.030042137,16672.377081574
325000,207754.05766151,10059.100718167,3529.7523030755,11973.775572311,16683.313744939
350000,207718.28123299,10067.722371691,3534.4052964418,11984.381555846,16695.209543032
375000,207680.07606373,10076.930982394,3539.3962864199,11995.698976758,16707.897690693
400000,207640.03929944,10086.58258426,3544.6467892378,12007.551127945,16721.180199113
425000,207598.74112087,10096.539731401,3550.0821204494,12019.769182912,16734.867844364
450000,207556.64787784,10106.689989545,3555.6409607547,12032.215149794,16748.806022064
475000,207514.09236881,10116.953084956,3561.2790481854,12044.790749069,16762.884748975
500000,207471.27838146,10127.279814091,3566.9686345794,12057.436049278,16777.037120588
525000,207428.30171644,10137.646986812,3572.695885232,12070.123182759,16791.232228758
550000,207385.17390437,10148.051722235,3578.4579409697,12082.84925775,16805.467174673
575000,207341.84170923,10158.506759016,3584.2605206264,12095.630522807,16819.760488317
600000,207298.20084971,10169.037158663,3590.1162696032,12108.498247509,16834.147474514
625000,207254.10548013,10179.678029959,3596.0436487794,12121.495864582,16848.676976552
650000,207209.376162,10190.472614356,3602.0659837566,12134.676573414,16863.408666475
675000,207163.809065,10201.470069673,3608.2102814026,12148.100607292,16878.409976626
700000,207117.18830561,10212.722490579,3614.505544553,12161.83160681,16893.752052444
725000,207069.30190077,10224.281052368,3620.9805427921,12175.931950122,16909.504553943
750000,207019.96020504,10236.19155482,3627.6612410722,12190.457354427,16925.729644641
775000,206969.01436036,10248.489965642,3634.5682615815,12205.451460155,16942.475952258
800000,206916.37161911,10261.198721757,3641.7148108108,12220.941319471,16959.773528846
825000,206862.00453934,10274.324511345,3649.1054565339,12236.934680802,16977.630811976
850000,206805.95211461,10287.858002388,3656.7359905297,12253.419650105,16996.034242361
875000,206748.31263359,10301.77556581,3664.5943913995,12270.366794538,17014.950614658
900000,206689.22996939,10316.042583474,3672.6626582696,12287.733187348,17034.331601513
925000,206628.87628422,10330.617620496,3680.9191183178,12305.467512624,17054.119464336
950000,206567.43449609,10345.456653974,3689.3407615776,12323.515242318,17074.252846036
975000,206505.08306995,10360.516743999,3697.9052623036,12341.823126732,17094.671797015
1000000,206441.98480373,10375.758733785,3706.5924592524,12360.342512625,17115.321490607
1025000,206378.27963432,10391.148986573,3715.3853003093,12379.031470983,17136.154607807
1050000,206314.08109684,10406.660238083,3724.2702995212,12397.855848354,17157.132517202
1075000,206249.47541109,10422.271816062,3733.2376486423,12416.789540472,17178.225583727
1100000,206184.52223121,10437.969459181,3742.2811134554,12435.814272461,17199.412923691
1125000,206119.25625565,10453.744928805,3751.3978212554,12454.919122722,17220.68187157
1150000,206053.69061101,10469.595148465,3760.5872313061,12474.099748499,17242.027260716
1175000,205987.81531422,10485.522705354,3769.8530305129,12493.35818317,17263.45076674
1200000,205921.60224489,10501.534523055,3779.2008429569,12512.702001867,17284.960387232
1225000,205855.00585537,10517.641731627,3788.638641511,12532.143913758,17306.569857731
1250000,205787.96507319,10533.85920659,3798.1764678254,12551.701211191,17328.298041201
1275000,205720.39957212,10550.206521934,3807.8276601013,12571.39658792,17350.169657919
1300000,205652.23671983,10566.701219914,3817.6021612612,12591.251382476,17372.208516515
1325000,205583.3671217,10583.369933664,3827.5178185015,12611.296624354,17394.448501778
1350000,205513.70238317,10600.234051749,3837.5872707327,12631.558075242,17416.918219101
1375000,205443.14468925,10617.317291287,3847.8251688033,12652.063985389,17439.648865264
1400000,205371.5995641,10634.642565349,3858.2457378665,12672.841611819,17462.670520865
1425000,205298.98032943,10652.230909534,3868.8622108342,12693.915891475,17486.010658721
1450000,205225.21261496,10670.100393417,3879.6862203013,12715.308112416,17509.692658901
1475000,205150.2385003,10688.2651176,3890.7271962672,12737.034710556,17533.734475272
1500000,205074.01982498,10706.734408371,3901.9918331693,12759.106328094,17558.147605379
1525000,204996.54024621,10725.512312073,3913.4836930454,12781.527253539,17582.936495129
1550000,204917.8058412,10744.597439385,3925.2029862532,12804.295297714,17608.098435444
1575000,204837.84425814,10763.983159612,3937.1465449986,12827.40209849,17633.623938757
1600000,204756.70266542,10783.658085941,3949.307970655,12850.83377497,17659.497503011
1625000,204674.44486256,10803.606764908,3961.6779193782,12874.571818867,17685.698634289
1650000,204591.14794391,10823.810476522,3974.2444844438,12898.594103516,17712.202991608
1675000,204506.89885395,10844.248063977,3986.9936392905,12922.875907032,17738.983535752
1700000,204421.79104296,10864.896743112,3999.9097188226,12947.390885737,17766.011609365
1725000,204335.92132779,10885.732866499,4012.9759281712,12972.111965911,17793.257911625
1750000,204249.38692808,10906.732649361,4026.1748841214,12997.012161978,17820.693376454
1775000,204162.2826188,10927.872871512,4039.4891948374,13022.065339573,17848.289975275
1800000,204074.69793538,10949.131569983,4052.9020775915,13047.246945619,17876.021471423
1825000,203986.71450811,10970.488701972,4066.3979789708,13072.534692612,17903.864118337
1850000,203898.40386599,10991.926691941,4079.9630983807,13097.909117536,17931.797226151
1875000,203809.82633586,11013.430705633,4093.5856471222,13123.35386335,17959.803448029
1900000,203721.03168713,11034.988487857,4107.2556734619,13148.855523134,17987.868628413
1925000,203632.06152846,11056.589762214,4120.9644489117,13174.403046533,18015.981213879
1950000,203542.95220426,11078.22550584,4134.7037288145,13199.987021566,18044.131539521
1975000,203453.73601763,11099.887642708,4148.4654341332,13225.59937372,18072.311531811
2000000,203364.43917132,11121.569558101,4162.2421620674,13251.233882315,18100.515226191
2025000,203275.0767971,11143.267342157,4176.0284405781,13276.887418569,18128.740001594
2050000,203185.64746112,11164.98116624,4189.8221384009,13302.561305167,18156.98792907
2075000,203096.13050745,11186.71595232,4203.6251988404,13328.261953405,18185.266387979
2100000,203006.48908864,11208.480623587,4217.4429921051,13354.000062953,18213.587232713
2125000,202916.67939203,11230.285809476,4231.2821635015,13379.788255333,18241.964379655
2150000,202826.66270232,11252.140845014,4245.1478165196,13405.63798132,18270.410654828
2175000,202736.41421829,11274.051584378,4259.0415455264,13431.557225011,18298.935426794
2200000,202645.9241705,11296.020141122,4272.9614171451,13457.550123407,18327.544147819
2225000,202555.19185738,11318.046399096,4286.903726701,13483.618354577,18356.239662248
2250000,202464.21698846,11340.130195106,4300.8654090068,13509.763206341,18385.024201083
2275000,202372.992394,11362.273156794,4314.8460633897,13535.987320494,18413.901065317
2300000,202281.49995771,11384.479729737,4328.8491077471,13562.295656432,18442.875548372
2325000,202189.71152387,11406.756955071,4342.881610244,13588.695241742,18471.954669069
2350000,202097.5989159,11429.11196305,4356.9517609726,13615.192676742,18501.14468333
2375000,202005.15495939,11451.546709862,4371.0635170542,13641.788917118,18530.445896571
2400000,201912.41400297,11474.052835587,4385.2113150906,13668.474204639,18559.847641712
2425000,201819.45104996,11496.611866656,4399.380093853,13695.228359502,18589.328630025
2450000,201726.35472622,11519.201958281,4413.5518449225,13722.027618772,18618.863851806
2475000,201633.19231236,11541.806621354,4427.7141535934,13748.853456093,18648.433456601
2500000,201539.98633724,11564.420560574,4441.8658715798,13775.69850268,18678.028727929
2525000,201446.71254524,11587.050171529,4456.0174768987,13802.567112885,18707.652693441
2550000,201353.32422529,11609.707449742,4470.184875999,13829.46932672,18737.314122242
2575000,201259.79732648,11632.398705267,4484.3780395314,13856.409624045,18767.016304672
2600000,201166.16767125,11655.115255109,4498.5916402026,13883.377643963,18796.747789478
2625000,201072.52704861,11677.834396626,4512.8059870242,13910.349178029,18826.483389711
2650000,200978.98009732,11700.530184601,4526.9977750705,13937.296960872,18856.194982138
2675000,200885.59547727,11723.185636469,4541.1522680161,13964.202886913,18885.863731327
2700000,200792.37877453,11745.799504482,4555.2700497537,13991.064792597,18915.486878634
2725000,200699.27482473,11768.385692935,4569.3664190198,14017.895885086,18945.077178225
2750000,200606.19704406,11790.965923452,4583.4640301352,14044.717419706,18974.655582643
2775000,200513.07470388,11813.557914186,4597.581046114,14071.546892233,19004.23944358
2800000,200419.89627634,11836.164541457,4611.7202740116,14098.387213403,19033.831694787
2825000,200326.71819286,11858.771648284,4625.8669522527,14125.224528271,19063.418678331
2850000,200233.62860275,11881.35710373,4639.9977962159,14152.037282359,19092.979214943
2875000,200140.69346017,11903.90428112,4654.094477117,14178.809699702,19122.498081893
2900000,200047.91953506,11926.41130691,4668.1528914511,14205.541021489,19151.975245084
2925000,199955.2454588,11948.893302962,4682.1854482682,14232.247725748,19181.428064219
2950000,199862.55696241,11971.378583016,4696.2173396336,14258.959686707,19210.887428232
2975000,199769.72521747,11993.899076134,4710.2770692944,14285.710545382,19240.388091717
3000000,199676.66295321,12016.476308431,4724.3825701566,14312.52362342,19269.954544784
3025000,199583.36745339,12039.110666881,4738.5306296458,14339.401106341,19299.590143743
3050000,199489.91237903,12061.783457924,4752.6991259438,14366.326013749,19329.279023348
3075000,199396.39385673,12084.47040018,4766.8607016107,14393.275601652,19358.999439821
3100000,199302.87312403,12107.155976773,4780.9972852156,14420.235630257,19388.737983722
3125000,199209.34408231,12129.841558757,4795.1083562335,14447.208416354,19418.497586344
3150000,199115.72906544,12152.546471144,4809.2121110702,14474.21384913,19448.298503219
3175000,199021.90324949,12175.301894352,4823.3394144,14501.283266626,19478.172175126
3200000,198927.75058128,12198.136881453,4837.5198128019,14528.445474907,19508.147249556
3225000,198833.23247611,12221.061178993,4851.7642997014,14555.709597014,19538.23244818
3250000,198738.42015112,12244.057136028,4866.0571275747,14583.057030521,19568.408554752
3275000,198643.460666,12267.088183977,4880.3641579555,14610.449992174,19598.636999892
3300000,198548.50552706,12290.116674526,4894.6505592113,14637.84942585,19628.877813347
3325000,198453.64986515,12313.11907404,4908.8958616101,14665.230266228,19659.104932972
3350000,198358.90303841,12336.093302356,4923.1011691622,14692.588841064,19689.313649005
3375000,198264.1906088,12359.058229244,4937.2885470492,14719.942422393,19719.520192515
3400000,198169.38895807,12382.04501257,4951.4922754152,14747.320607454,19749.753146486
3425000,198074.39187126,12405.080446317,4965.7421310909,14774.748700051,19780.036851282
3450000,197979.18121216,12428.16928782,4980.0456612544,14802.23006397,19810.373774793
3475000,197883.84976668,12451.288545148,4994.3824263241,14829.740431384,19840.738830459
3500000,197788.55653135,12474.398653692,5008.7151389081,14857.239097453,19871.090578591
3525000,197693.45227446,12497.46208439,5023.0082453627,14884.68754155,19901.389854238
3550000,197598.62166506,12520.457809116,5037.242371335,14912.063903339,19931.614251153
3575000,197504.05791237,12543.387637636,5051.4206404229,14939.369330571,19961.764478997
3600000,197409.66754924,12566.275018415,5065.5674574879,14966.626790136,19991.863184722
3625000,197315.30552021,12589.156263406,5079.7197116262,14993.872303984,20021.946200773
3650000,197220.83978884,12612.064394057,5093.910594924,15021.138807002,20052.046415176
3675000,197126.22061105,12635.011822286,5108.1522496071,15048.438841987,20082.17647507
3700000,197031.50719193,12657.983686317,5122.4290675749,15075.757912109,20112.32214207
3725000,196936.83048233,12680.947151446,5136.7069668226,15103.063794685,20142.45160471
3750000,196842.32308808,12703.86893189,5150.9509123058,15130.324066347,20172.533001378
3775000,196748.06038178,12726.730012434,5165.1396639541,15157.520814655,20202.549127177
3800000,196654.03123054,12749.532968191,5179.2731461159,15184.657934947,20232.504720208
3825000,196560.13683782,12772.302259353,5193.3728141413,15211.761387937,20262.426700747
3850000,196466.21736936,12795.07758293,5207.4751049829,15238.872498703,20292.357444023
3875000,196372.10855006,12817.899733027,5221.617427741,15266.033750035,20322.340539131
3900000,196277.711349,12840.793189489,5235.8209069262,15293.271296652,20352.403257932
3925000,196183.0328774,12863.755905444,5250.0803287289,15320.584678311,20382.546210114
3950000,196088.17055717,12886.763280186,5264.3682585953,15347.950721756,20412.747182293
3975000,195993.25581198,12909.782252513,5278.649262971,15375.337565946,20442.975106592
4000000,195898.39391423,12932.786352221,5292.8950759144,15402.71965116,20473.205006469
4025000,195803.62330222,12955.765879397,5307.0948660195,15430.08785053,20503.428101827
4050000,195708.90034509,12978.731717157,5321.2590987347,15457.453254654,20533.655584367
4075000,195614.11162417,13001.712259796,5335.4164748486,15484.844093069,20563.915548113
4100000,195519.11713227,13024.742604619,5349.6031028986,15512.294939404,20594.242220805
4125000,195423.81516802,13047.848313764,5363.8462129753,15539.83050872,20624.659796518
4150000,195328.19574537,13071.032047087,5378.1507006775,15567.452348407,20655.169158452
4175000,195232.3479049,13094.271726007,5392.4971412846,15595.137080192,20685.746147611
4200000,195136.41958815,13117.530566009,5406.851640919,15622.846509104,20716.351695817
4225000,195040.5588519,13140.771776085,5421.1803597276,15650.542390193,20746.946622088
4250000,194944.86438585,13163.970927893,5435.4617515557,15678.198848971,20777.504085726
4275000,194849.35743375,13187.122968454,5449.6935020709,15705.809429108,20808.016666615
4300000,194753.97940276,13210.242806805,5463.893084156,15733.387700296,20838.497005985
4325000,194658.61941898,13233.358410883,5478.0908626751,15760.960363261,20868.970944203
4350000,194563.16751314,13256.497493692,5492.3168172268,15788.553938966,20899.46423697
4375000,194467.56892225,13279.673921451,5506.5869796858,15816.181188624,20929.988987986
4400000,194371.84973499,13302.881297032,5520.8969946778,15843.834720971,20960.537252324
4425000,194276.10511237,13326.095917665,5535.2249754217,15871.489981671,20991.084012871
4450000,194180.46099165,13349.286372273,5549.540954249,15899.114883629,21021.596798199
4475000,194085.02640576,13372.425479448,5563.8187038188,15926.681769592,21052.04764138
4500000,193989.85371187,13395.500232071,5578.0456386977,15954.177369399,21082.42304796
4525000,193894.91968149,13418.516512262,5592.2275541083,15981.607516564,21112.728735571
4550000,193800.13490061,13441.496721266,5606.3863198379,16008.994770377,21142.987287902
4575000,193705.3816815,13464.470280443,5620.5504573346,16036.368904705,21173.228676018
4600000,193610.56555822,13487.460741246,5634.7423026071,16063.754014613,21203.477383307
4625000,193515.65185511,13510.476636652,5648.9688665301,16091.15938014,21233.743261564
4650000,193420.66775335,13533.510968372,5663.2212989417,16118.578970204,21264.021009132
4675000,193325.67722284,13556.547486713,5677.4811423188,16145.997724066,21294.296424059
4700000,193230.74937906,13579.568622622,5691.7282429449,16173.399466592,21324.554288784
4725000,193135.93067368,13602.562464979,5705.9477290955,16200.773854784,21354.785277461
4750000,193041.22303216,13625.528244965,5720.1355632591,16228.121810798,21384.991348811
4775000,192946.57536978,13648.478466626,5734.3008300395,16255.457568969,21415.187764584
4800000,192851.89864318,13671.435149566,5748.462187077,16282.804811937,21445.399208234
4825000,192757.10148429,13694.420926556,5762.6391731383,16310.187663788,21475.65075223
4850000,192662.12473383,13717.450414572,5776.8437642319,16337.621983385,21505.959103981
4875000,192566.9558172,13740.526619419,5791.0769442662,16365.111716427,21536.328902682
4900000,192471.62414711,13763.642076778,5805.3299962715,16392.65000127,21566.75377857
4925000,192376.18538195,13786.782776871,5819.5885297543,16420.223081502,21597.220229918
4950000,192280.69847117,13809.933901553,5833.838223619,16447.816052231,21627.71335142
4975000,192185.20224128,13833.085699508,5848.070566878,16475.418756313,21658.222736014
5000000,192089.70044987,13856.237264258,5862.2863781526,16503.029595329,21688.74631239
5025000,191994.16228912,13879.396442464,5876.4954573732,16530.655474854,21719.290336185
5050000,191898.54157649,13902.575039194,5890.7116487856,16558.307044095,21749.864691429
5075000,191802.8074489,13925.781117043,5904.9451033051,16585.991040482,21780.475290265
5100000,191706.96683211,13949.013337064,5919.196621309,16613.704701474,21811.118508042
5125000,191611.06179007,13972.261573998,5933.458289175,16641.436462223,21841.781884532
5150000,191515.14672552,13995.512564489,5947.7192145761,16669.171652396,21872.449843015
5175000,191419.26746589,14018.755089186,5961.9708315976,16696.8976845,21903.108928829
5200000,191323.454067,14041.981755415,5976.2086950901,16724.60584589,21933.749636606
5225000,191227.7192577,14065.189417903,5990.4327021845,16752.291759626,21964.366862588
5250000,191132.05518524,14088.380059345,6004.6476349664,16779.956308887,21994.96081156
5275000,191036.43617405,14111.560168892,6018.8622353648,16807.60502565,22025.536396043
5300000,190940.83510953,14134.736683305,6033.084984684,16835.24402593,22056.099196548
5325000,190845.24335133,14157.912001562,6047.3191121521,16862.875039206,22086.650495747
5350000,190749.67794192,14181.082139945,6061.5608720466,16890.493591516,22117.185454566
5375000,190654.17583043,14204.238116738,6075.8011295841,16918.090403458,22147.694519789
5400000,190558.78278499,14227.368664816,6090.02827165,16945.6541177,22178.166160841
5425000,190463.53657161,14250.464387189,6104.2325079355,16973.175483144,22208.591050117
5450000,190368.44641275,14273.522860216,6118.4110767815,17000.652461886,22238.967188365
5475000,190273.48140883,14296.551531547,6132.5711513815,17028.093088041,22269.302820199
5500000,190178.5780144,14319.565907172,6146.727836358,17055.513611717,22299.61463035
5525000,190083.66423135,14342.58359729,6160.8978525787,17082.932532527,22329.921786249
5550000,189988.68950314,14365.616922335,6175.0918318026,17110.363217654,22360.238525064
5575000,189893.64591622,14388.667634876,6189.3089659473,17137.808645897,22390.568837059
5600000,189798.56767483,14411.727020724,6203.5372633856,17165.261535058,22420.906505996
5625000,189703.5067868,14434.781929512,6217.7598559292,17192.710370409,22451.24105735
5650000,189608.50102219,14457.822748999,6231.9633022207,17220.147297255,22481.565629335
5675000,189513.55597347,14480.847879803,6246.1423672779,17247.572451166,22511.881328285
5700000,189418.64606381,14503.86350088,6260.2999678705,17274.993600455,22542.196866981
5725000,189323.72216919,14526.881693838,6274.4453819975,17302.424193201,22572.526561771
5750000,189228.7190937,14549.918585329,6288.5925665236,17329.881394261,22602.888360189
5775000,189133.57056217,14572.990579879,6302.7567134897,17357.382162506,22633.299981953
5800000,189038.23380357,14596.108197074,6316.948292681,17384.937011549,22663.772695128
5825000,188942.70802321,14619.27148072,6331.1682679154,17412.545527381,22694.306700766
5850000,188847.03418985,14642.470117368,6345.4077326891,17440.196695384,22724.891264709
5875000,188751.28235718,14665.686655297,6359.6507041838,17467.872299643,22755.507983696
5900000,188655.53380793,14688.900962643,6373.8783851898,17495.551528008,22786.13531623
5925000,188559.85570447,14712.096516923,6388.0754412869,17523.21737319,22816.754964127
5950000,188464.27262474,14735.267471888,6402.2371932461,17550.863672185,22847.359037937
5975000,188368.75207142,14758.422256559,6416.3734459001,17578.498473606,22877.953752516
6000000,188273.21787612,14781.580224096,6430.5053861035,17606.140348995,22908.556164682
6025000,188177.58829752,14804.762123663,6444.6562066563,17633.80865128,22939.184720879
6050000,188081.81909477,14827.979281247,6458.840314912,17661.512807999,22969.848501071
6075000,187985.92793771,14851.227377042,6473.0570958095,17689.246546874,23000.541042564
6100000,187889.9869776,14874.48816327,6487.2925498134,17716.990213599,23031.242095719
6125000,187794.08891969,14897.737901314,6501.5274406241,17744.719649791,23061.926088575
6150000,187698.30866038,14920.95708046,6515.7464734751,17772.415917627,23092.571868051
6175000,187602.68306576,14944.135741969,6529.942976206,17800.070172407,23123.168043653
6200000,187507.21267172,14967.27334408,6544.1182079173,17827.682904697,23153.712871585
6225000,187411.87154527,14990.376476677,6558.2787816256,17855.261206685,23184.211989735
6250000,187316.61505117,15013.456923264,6572.4348729548,17882.816650639,23214.676501972
6275000,187221.3900609,15036.52897154,6586.598124824,17910.362530263,23245.120312471
6300000,187126.15210181,15059.604937448,6600.7779453522,17937.90934088,23275.555674505
6325000,187030.88137267,15082.690966289,6614.9779630654,17965.460682749,23305.989015223
6350000,186935.58977848,15105.785051407,6629.194466467,17993.011729425,23336.418974217
6375000,186840.32033591,15128.876933066,6643.4164260557,18020.549989115,23366.836315853
6400000,186745.13731656,15151.950344734,6657.6275470537,18048.058614066,23397.226177583
6425000,186650.10113067,15174.989157205,6671.8121197152,18075.523389969,23427.574202438
6450000,186555.23419776,15197.985881238,6685.9634157206,18102.941493416,23457.875011862
6475000,186460.49837745,15220.947460032,6700.08948431,18130.32673115,23488.137947056
6500000,186365.80192459,15243.893989346,6714.2115478135,18157.70682216,23518.38571609
6525000,186271.03677828,15266.850166765,6728.3544935542,18185.112812925,23548.645748478
6550000,186176.12675596,15289.83401905,6742.5343508073,18212.566064414,23578.938809762
6575000,186081.0579635,15312.849608395,6756.7503537067,18240.070491205,23609.271583188
6600000,185985.87370871,15335.88792688,6770.9865006152,18267.614428317,23639.637435473
6625000,185890.6401592,15358.934602816,6785.2211766631,18295.180057648,23670.024003669
6650000,185795.40790987,15381.978465593,6799.4382618137,18322.753706434,23700.421656284
6675000,185700.19285375,15405.015395191,6813.6332842628,18350.331198236,23730.827268559
6700000,185604.97984072,15428.046793995,6827.8131334076,18377.917576692,23761.242655187
6725000,185509.73594675,15451.076337683,6841.9921701194,18405.524228503,23791.671316942
6750000,185414.42312442,15474.108144423,6856.187060472,18433.165026461,23822.116644226
6775000,185319.01169171,15497.145916251,6870.410506696,18460.850764023,23852.581121313
6800000,185223.49304847,15520.191788146,6884.6660337974,18488.583869527,23883.06526006
6825000,185127.88170762,15543.245604964,6898.9478980799,18516.357816226,23913.566973112
