temperature,Points:0
1014.9,0
1014.9,8.00E-06
1014.9,1.60E-05
1014.9,2.40E-05
1014.9,3.20E-05
1014.9,4.00E-05
1014.9,4.80E-05
1014.9,5.60E-05
1014.9,6.40E-05
1014.9,7.20E-05
1014.9,8.00E-05
1014.9,8.80E-05
1014.9,9.60E-05
1014.9,0.000104
1014.9,0.000112
1014.9,0.00012
1014.9,0.000128
1014.9,0.000136
1014.9,0.000144
1014.9,0.000152
1014.9,0.00016
1014.9,0.000168
1015,0.000176
1015,0.000184
1015,0.000192
1015,0.0002
1015,0.000208
1015,0.000216
1015,0.000224
1015,0.000232
1015,0.00024
1015,0.000248
1015.1,0.000256
1015.1,0.000264
1015.1,0.000272
1015.1,0.00028
1015.1,0.000288
1015.1,0.000296
1015.1,0.000304
1015.2,0.000312
1015.2,0.00032
1015.2,0.000328
1015.2,0.000336
1015.2,0.000344
1015.2,0.000352
1015.2,0.00036
1015.3,0.000368
1015.3,0.000376
1015.3,0.000384
1015.3,0.000392
1015.3,0.0004
1015.3,0.000408
1015.4,0.000416
1015.4,0.000424
1015.4,0.000432
1015.4,0.00044
1015.4,0.000448
1015.5,0.000456
1015.5,0.000464
1015.5,0.000472
1015.5,0.00048
1015.6,0.000488
1015.6,0.000496
1015.6,0.000504
1015.6,0.000512
1015.6,0.00052
1015.7,0.000528
1015.7,0.000536
1015.7,0.000544
1015.7,0.000552
1015.8,0.00056
1015.8,0.000568
1015.8,0.000576
1015.9,0.000584
1015.9,0.000592
1015.9,0.0006
1015.9,0.000608
1016,0.000616
1016,0.000624
1016,0.000632
1016,0.00064
1016.1,0.000648
1016.1,0.000656
1016.1,0.000664
1016.2,0.000672
1016.2,0.00068
1016.2,0.000688
1016.3,0.000696
1016.3,0.000704
1016.3,0.000712
1016.4,0.00072
1016.4,0.000728
1016.4,0.000736
1016.5,0.000744
1016.5,0.000752
1016.5,0.00076
1016.6,0.000768
1016.6,0.000776
1016.6,0.000784
1016.7,0.000792
1016.7,0.0008
1016.7,0.000808
1016.8,0.000816
1016.8,0.000824
1016.9,0.000832
1016.9,0.00084
1016.9,0.000848
1017,0.000856
1017,0.000864
1017.1,0.000872
1017.1,0.00088
1017.1,0.000888
1017.2,0.000896
1017.2,0.000904
1017.3,0.000912
1017.3,0.00092
1017.3,0.000928
1017.4,0.000936
1017.4,0.000944
1017.5,0.000952
1017.5,0.00096
1017.6,0.000968
1017.6,0.000976
1017.7,0.000984
1017.7,0.000992
1017.8,0.001
1017.8,0.001008
1017.8,0.001016
1017.9,0.001024
1017.9,0.001032
1018,0.00104
1018,0.001048
1018.1,0.001056
1018.1,0.001064
1018.2,0.001072
1018.2,0.00108
1018.3,0.001088
1018.3,0.001096
1018.4,0.001104
1018.4,0.001112
1018.5,0.00112
1018.5,0.001128
1018.6,0.001136
1018.6,0.001144
1018.7,0.001152
1018.8,0.00116
1018.8,0.001168
1018.9,0.001176
1018.9,0.001184
1019,0.001192
1019,0.0012
1019.1,0.001208
1019.1,0.001216
1019.2,0.001224
1019.3,0.001232
1019.3,0.00124
1019.4,0.001248
1019.4,0.001256
1019.5,0.001264
1019.5,0.001272
1019.6,0.00128
1019.7,0.001288
1019.7,0.001296
1019.8,0.001304
1019.8,0.001312
1019.9,0.00132
1020,0.001328
1020,0.001336
1020.1,0.001344
1020.2,0.001352
1020.2,0.00136
1020.3,0.001368
1020.4,0.001376
1020.4,0.001384
1020.5,0.001392
1020.5,0.0014
1020.6,0.001408
1020.7,0.001416
1020.7,0.001424
1020.8,0.001432
1020.9,0.00144
1020.9,0.001448
1021,0.001456
1021.1,0.001464
1021.2,0.001472
1021.2,0.00148
1021.3,0.001488
1021.4,0.001496
1021.4,0.001504
1021.5,0.001512
1021.6,0.00152
1021.6,0.001528
1021.7,0.001536
1021.8,0.001544
1021.9,0.001552
1021.9,0.00156
1022,0.001568
1022.1,0.001576
1022.2,0.001584
1022.2,0.001592
1022.3,0.0016
1022.4,0.001608
1022.5,0.001616
1022.5,0.001624
1022.6,0.001632
1022.7,0.00164
1022.8,0.001648
1022.8,0.001656
1022.9,0.001664
1023,0.001672
1023.1,0.00168
1023.2,0.001688
1023.2,0.001696
1023.3,0.001704
1023.4,0.001712
1023.5,0.00172
1023.6,0.001728
1023.7,0.001736
1023.7,0.001744
1023.8,0.001752
1023.9,0.00176
1024,0.001768
1024.1,0.001776
1024.2,0.001784
1024.2,0.001792
1024.3,0.0018
1024.4,0.001808
1024.5,0.001816
1024.6,0.001824
1024.7,0.001832
1024.8,0.00184
1024.8,0.001848
1024.9,0.001856
1025,0.001864
1025.1,0.001872
1025.2,0.00188
1025.3,0.001888
1025.4,0.001896
1025.5,0.001904
1025.6,0.001912
1025.6,0.00192
1025.7,0.001928
1025.8,0.001936
1025.9,0.001944
1026,0.001952
1026.1,0.00196
1026.2,0.001968
1026.3,0.001976
1026.4,0.001984
1026.5,0.001992
1026.6,0.002
1026.7,0.002008
1026.8,0.002016
1026.9,0.002024
1027,0.002032
1027.1,0.00204
1027.2,0.002048
1027.3,0.002056
1027.4,0.002064
1027.5,0.002072
1027.6,0.00208
1027.7,0.002088
1027.8,0.002096
1027.9,0.002104
1028,0.002112
1028.1,0.00212
1028.2,0.002128
1028.3,0.002136
1028.4,0.002144
1028.5,0.002152
1028.6,0.00216
1028.7,0.002168
1028.8,0.002176
1028.9,0.002184
1029,0.002192
1029.1,0.0022
1029.2,0.002208
1029.3,0.002216
1029.4,0.002224
1029.6,0.002232
1029.7,0.00224
1029.8,0.002248
1029.9,0.002256
1030,0.002264
1030.1,0.002272
1030.2,0.00228
1030.3,0.002288
1030.4,0.002296
1030.5,0.002304
1030.7,0.002312
1030.8,0.00232
1030.9,0.002328
1031,0.002336
1031.1,0.002344
1031.2,0.002352
1031.3,0.00236
1031.5,0.002368
1031.6,0.002376
1031.7,0.002384
1031.8,0.002392
1031.9,0.0024
1032,0.002408
1032.2,0.002416
1032.3,0.002424
1032.4,0.002432
1032.5,0.00244
1032.6,0.002448
1032.8,0.002456
1032.9,0.002464
1033,0.002472
1033.1,0.00248
1033.2,0.002488
1033.4,0.002496
1033.5,0.002504
1033.6,0.002512
1033.7,0.00252
1033.9,0.002528
1034,0.002536
1034.1,0.002544
1034.2,0.002552
1034.4,0.00256
1034.5,0.002568
1034.6,0.002576
1034.7,0.002584
1034.9,0.002592
1035,0.0026
1035.1,0.002608
1035.3,0.002616
1035.4,0.002624
1035.5,0.002632
1035.7,0.00264
1035.8,0.002648
1035.9,0.002656
1036.1,0.002664
1036.2,0.002672
1036.3,0.00268
1036.5,0.002688
1036.6,0.002696
1036.7,0.002704
1036.9,0.002712
1037,0.00272
1037.1,0.002728
1037.3,0.002736
1037.4,0.002744
1037.6,0.002752
1037.7,0.00276
1037.8,0.002768
1038,0.002776
1038.1,0.002784
1038.2,0.002792
1038.4,0.0028
1038.5,0.002808
1038.7,0.002816
1038.8,0.002824
1038.9,0.002832
1039.1,0.00284
1039.2,0.002848
1039.4,0.002856
1039.5,0.002864
1039.7,0.002872
1039.8,0.00288
1040,0.002888
1040.1,0.002896
1040.3,0.002904
1040.4,0.002912
1040.6,0.00292
1040.7,0.002928
1040.9,0.002936
1041,0.002944
1041.2,0.002952
1041.3,0.00296
