Temperature (K),Enthalpy (J/mol)
800.0,-890.3112092800438
803.4,-770.1973692802712
806.8,-650.0835292804986
810.2,-529.9696892802604
813.6,-409.8558492800221
817.0,-289.7420092802495
820.4,-169.62816928047687
823.8,-49.5143292802386
827.2,70.59951071999967
830.6,190.71335071977228
834.0,310.8271907195449
837.4,430.9410307193175
840.8,551.0548707200214
844.2,671.168710719794
847.6,791.2825507200323
851.0,911.3963907193393
854.4,1031.5102307195775
857.8,1151.6240707198158
861.2,1271.7379107195884
864.6,1391.8517507202923
868.0,1511.965590720065
871.4,1632.0794307198375
874.8,1752.1932707196102
878.2,1872.3071107193828
881.6,1992.4209507200867
885.0,2112.5347907198593
888.4,2232.648630719632
891.8,2352.76247071987
895.2,2472.8763107201084
898.6,2592.990150719881
902.0,2713.1039907196537
905.4,2833.2178307194263
908.8,2953.33167072013
912.2,3073.445510719903
915.6,3193.5593507196754
919.0,3313.673190719448
922.4,3433.7870307196863
925.8,3553.9008707199246
929.2,3674.014710719697
932.6,3794.12855071947
936.0,3914.2423907201737
939.4,4034.3562307199463
942.8,4154.470070719719
946.2,4274.5839107194915
949.6,4394.69775071973
953.0,4514.811590719968
956.4,4634.925430719741
959.8,4755.039270719513
963.2,4875.153110720217
966.6,4995.26695071999
970.0,5115.380790719762
973.4,5235.494630719535
976.8,5355.608470719773
980.2,5475.722310720012
983.6,5595.836150719784
987.0,5715.949990719557
990.4,5836.063830719795
993.8,5956.177670720033
997.2,6076.291510719806
1000.6,6196.405350719579
1004.0,6316.519190719817
1007.4,6436.633030719589
1010.8,6556.746870719828
1014.2,6676.8607107196
1017.6,6796.974550719839
1021.0,6917.088390720077
1024.4,7037.2022307198495
1027.8,7157.316070719622
1031.2,7277.429910719395
1034.6,7397.543750719633
1038.0,7517.657590719871
1041.4,7637.771430719644
1044.8,7757.885270719882
1048.2,7877.99911072012
1051.6,7998.112950719893
1055.0,8118.226790719666
1058.4,8238.340630719438
1061.8,8358.454470719676
1065.2,8478.568310719915
1068.6,8598.682150719687
1072.0,8718.795990719926
1075.4,8838.909830720164
1078.8,8959.023670719936
1082.2,9079.13751071971
1085.6,9199.251350719482
1089.0,9319.36519071972
1092.4,9439.479030719958
1095.8,9559.59287071973
1099.2,9679.706710719503
1102.6,9799.820550719742
1106.0,9919.93439071998
1109.4,10040.048230719753
1112.8,10160.162070719525
1116.2,10280.275910719763
