temperature,Points:0
1224.7,0
1224.6,8.00E-06
1222,1.60E-05
1219.3,2.40E-05
1216.9,3.20E-05
1214.4,4.00E-05
1212,4.80E-05
1209.5,5.60E-05
1207.1,6.40E-05
1204.6,7.20E-05
1202.2,8.00E-05
1199.7,8.80E-05
1197.3,9.60E-05
1194.8,0.000104
1192.4,0.000112
1189.2,0.00012
1185.6,0.000128
1179.2,0.000136
1170.9,0.000144
1161.3,0.000152
1151.7,0.00016
1142.2,0.000168
1132.6,0.000176
1123,0.000184
1113.5,0.000192
1103.9,0.0002
1094.4,0.000208
1084.8,0.000216
1075.2,0.000224
1065.7,0.000232
1057.3,0.00024
1049.7,0.000248
1042.3,0.000256
1035.3,0.000264
1028.6,0.000272
1022,0.00028
1015.2,0.000288
1008.5,0.000296
1001.7,0.000304
994.94,0.000312
988.17,0.00032
981.41,0.000328
974.64,0.000336
967.88,0.000344
961.12,0.000352
954.35,0.00036
947.59,0.000368
940.83,0.000376
935.18,0.000384
929.62,0.000392
924.52,0.0004
919.63,0.000408
914.74,0.000416
909.85,0.000424
904.96,0.000432
900.07,0.00044
895.19,0.000448
890.3,0.000456
885.41,0.000464
880.52,0.000472
875.63,0.00048
870.74,0.000488
865.97,0.000496
861.3,0.000504
856.63,0.000512
852.31,0.00052
848.28,0.000528
844.26,0.000536
840.33,0.000544
836.41,0.000552
832.5,0.00056
828.58,0.000568
824.66,0.000576
820.74,0.000584
816.83,0.000592
812.91,0.0006
808.99,0.000608
805.08,0.000616
801.16,0.000624
797.24,0.000632
793.4,0.00064
789.82,0.000648
786.25,0.000656
782.79,0.000664
779.41,0.000672
776.03,0.00068
772.64,0.000688
769.26,0.000696
765.88,0.000704
762.49,0.000712
759.11,0.00072
755.73,0.000728
752.34,0.000736
748.96,0.000744
745.58,0.000752
742.28,0.00076
739.02,0.000768
735.87,0.000776
732.85,0.000784
729.83,0.000792
726.88,0.0008
723.94,0.000808
720.99,0.000816
718.04,0.000824
715.09,0.000832
712.14,0.00084
709.19,0.000848
706.24,0.000856
703.3,0.000864
700.35,0.000872
697.4,0.00088
694.45,0.000888
691.61,0.000896
688.84,0.000904
686.07,0.000912
683.38,0.00092
680.76,0.000928
678.14,0.000936
675.52,0.000944
672.89,0.000952
670.27,0.00096
667.65,0.000968
665.03,0.000976
662.41,0.000984
659.79,0.000992
657.17,0.001
654.55,0.001008
651.95,0.001016
649.41,0.001024
646.86,0.001032
644.43,0.00104
642.05,0.001048
639.69,0.001056
637.34,0.001064
634.99,0.001072
632.65,0.00108
630.3,0.001088
627.96,0.001096
625.61,0.001104
623.26,0.001112
620.92,0.00112
618.57,0.001128
616.23,0.001136
613.88,0.001144
611.57,0.001152
609.3,0.00116
607.06,0.001168
604.91,0.001176
602.77,0.001184
600.63,0.001192
598.49,0.0012
596.34,0.001208
594.2,0.001216
592.06,0.001224
589.92,0.001232
587.78,0.00124
585.64,0.001248
583.5,0.001256
581.36,0.001264
579.23,0.001272
577.1,0.00128
575.02,0.001288
573.03,0.001296
571.04,0.001304
569.09,0.001312
567.15,0.00132
565.22,0.001328
563.28,0.001336
561.34,0.001344
559.4,0.001352
557.47,0.00136
555.53,0.001368
553.59,0.001376
551.65,0.001384
549.72,0.001392
547.78,0.0014
545.87,0.001408
543.97,0.001416
542.14,0.001424
540.34,0.001432
538.55,0.00144
536.79,0.001448
535.02,0.001456
533.26,0.001464
531.49,0.001472
529.73,0.00148
527.97,0.001488
526.2,0.001496
524.44,0.001504
522.67,0.001512
520.91,0.00152
519.14,0.001528
517.38,0.001536
515.66,0.001544
513.96,0.001552
512.35,0.00156
510.73,0.001568
509.14,0.001576
507.54,0.001584
505.95,0.001592
504.35,0.0016
502.75,0.001608
501.16,0.001616
499.56,0.001624
497.97,0.001632
496.37,0.00164
494.78,0.001648
493.18,0.001656
491.59,0.001664
490.04,0.001672
488.51,0.00168
486.98,0.001688
485.51,0.001696
484.05,0.001704
482.59,0.001712
481.13,0.00172
479.67,0.001728
478.22,0.001736
476.76,0.001744
475.3,0.001752
473.84,0.00176
472.38,0.001768
470.93,0.001776
469.47,0.001784
468.03,0.001792
466.61,0.0018
465.19,0.001808
463.85,0.001816
462.52,0.001824
461.2,0.001832
459.88,0.00184
458.56,0.001848
457.24,0.001856
455.92,0.001864
454.6,0.001872
453.28,0.00188
451.96,0.001888
450.64,0.001896
449.32,0.001904
448,0.001912
446.68,0.00192
445.37,0.001928
444.12,0.001936
442.86,0.001944
