Temperature (K),Enthalpy (J/mol)
800.0,13475.717565679995
803.4,13573.444445679997
806.8,13671.171325679985
810.2,13768.898205680001
813.6,13866.625085679989
817.0,13964.35196567999
820.4,14062.078845679993
823.8,14159.805725679995
827.2,14257.532605679997
830.6,14355.259485679999
834.0,14452.98636568
837.4,14550.713245680003
840.8,14648.440125680005
844.2,14746.167005680007
847.6,14843.893885680009
851.0,14941.62076568001
854.4,15039.347645679998
857.8,15137.074525679986
861.2,15234.801405680017
864.6,15332.52828567999
868.0,15430.25516568002
871.4,15527.982045679993
874.8,15625.708925679995
878.2,15723.435805679997
881.6,15821.16268568
885.0,15918.889565680001
888.4,16016.616445680003
891.8,16114.343325680005
895.2,16212.070205679978
898.6,16309.79708568001
902.0,16407.52396568001
905.4,16505.250845680013
908.8,16602.977725680015
912.2,16700.704605679988
915.6,16798.43148567999
919.0,16896.158365679992
922.4,16993.885245679994
925.8,17091.612125679996
929.2,17189.339005679998
932.6,17287.06588568
936.0,17384.792765680002
939.4,17482.519645680004
942.8,17580.246525680006
946.2,17677.973405680008
949.6,17775.70028568001
953.0,17873.427165680012
956.4,17971.154045680014
959.8,18068.880925679987
963.2,18166.607805680018
966.6,18264.33468567999
970.0,18362.061565679993
973.4,18459.788445679995
976.8,18557.515325679997
980.2,18655.24220568
983.6,18752.96908568
987.0,18850.695965680003
990.4,18948.422845680005
993.8,19046.149725680007
997.2,19143.87660568001
1000.6,19241.60348568001
1004.0,19339.330365680013
1007.4,19437.057245680015
1010.8,19534.784125680017
1014.2,19632.51100567999
1017.6,19730.23788567999
1021.0,19827.964765679993
1024.4,19925.691645679995
1027.8,20023.418525679997
1031.2,20121.14540568
1034.6,20218.87228568
1038.0,20316.599165680003
1041.4,20414.326045680005
1044.8,20512.052925680007
1048.2,20609.77980568001
1051.6,20707.506685679982
1055.0,20805.233565679984
1058.4,20902.960445680015
1061.8,21000.687325679988
1065.2,21098.41420567999
1068.6,21196.141085679992
1072.0,21293.867965679994
1075.4,21391.594845679996
1078.8,21489.321725679998
1082.2,21587.04860568
1085.6,21684.775485680002
1089.0,21782.502365680004
1092.4,21880.229245680006
1095.8,21977.956125680008
1099.2,22075.68300568001
1102.6,22173.409885680012
1106.0,22271.136765680014
1109.4,22368.863645680016
1112.8,22466.59052567999
1116.2,22564.31740568002
1119.6,22662.044285679993
1123.0,22759.771165679995
1126.4,22857.498045679997
1129.8,22955.22492568
1133.2,23052.95180568
1136.6,23150.678685680003
1140.0,23248.405565680005
1143.4,23346.132445680007
1146.8,23443.85932568001
1150.2,23541.58620568001
1153.6,23639.313085680013
1157.0,23737.039965679985
1160.4,23834.766845680017
1163.8,23932.49372567999
1167.2,24030.22060567999
1170.6,24127.947485679993
1174.0,24225.674365679995
1177.4,24323.401245679997
1180.8,24421.12812568
1184.2,24518.85500568
1187.6,24616.581885680003
1191.0,24714.308765680005
1194.4,24812.035645680007
1197.8,24909.76252568001
1201.2,25007.48940568001
1204.6,25105.216285680013
1208.0,25202.943165680015
1211.4,25300.670045680017
1214.8,25398.39692567999
1218.2,25496.12380568002
1221.6,25593.850685679994
1225.0,25691.577565679996
1228.4,25789.304445679998
1231.8,25887.03132568
1235.2,25984.758205680002
1238.6,26082.485085679975
1242.0,26180.211965680006
1245.4,26277.938845680008
1248.8,26375.66572568001
1252.2,26473.392605680056
1255.6,26571.11948568019
1259.0,26668.84636568054
1262.4,26766.573245681517
1265.8,26864.300125684225
1269.2,26962.027005691663
1272.6,27059.753885712184
1276.0,27157.480765768763
1279.4,27255.207645924747
1282.8,27352.934526354817
1286.2,27450.661407540596
1289.6,27548.38829081008
1293.0,27646.115179824716
1296.4,27743.84208467997
1299.8,27841.56903321117
1303.2,27939.29610216622
1306.6,28037.023503155273
1310.0,28134.751819632394
1313.4,28232.482660302776
1316.8,28330.220460698823
1320.1999999999998,28427.977450458144
1323.6,28525.78734878391
1327.0,28623.743122870394
1330.4,28722.101074125298
1333.8,28821.56766057515
1337.1999999999998,28924.089070769653
1340.6,29035.018715263082
1344.0,29169.02140324704
1347.4,29365.812916494848
1350.8,29729.624193583004
1354.1999999999998,30511.330622319394
1357.6,32185.30319287037
1361.0,35152.26461888605
1364.4,38768.90348439186
1367.8,41574.317567334045
1371.1999999999998,43102.0589807549
1374.6,43808.19136091377
1378.0,44140.66379698238
1381.4,44325.51278316663
1384.8,44455.105135078076
1388.1999999999998,44564.42467425781
1391.6,44666.36072889235
1395.0,44765.61483178535
1398.4,44863.89569420813
1401.8,44961.823506132525
1405.1999999999998,45059.623262576904
1408.6,45157.376573970716
1412.0,45255.11304027078
1415.4,45352.843397083256
1418.8,45450.57153807217
1422.1999999999998,45548.29887541421
1425.6,45646.02592128544
1429.0,45743.75286144452
1432.4,45841.47976326328
1435.8,45939.206651176646
1439.1999999999998,46036.93353404669
1442.6,46134.66041508762
1446.0,46232.38729546513
1449.4,46330.114175602066
1452.8,46427.84105565172
1456.1999999999998,46525.567935669766
1459.6,46623.29481567626
1463.0,46721.021695678646
1466.4,46818.74857567949
1469.8,46916.475455679814
1473.1999999999998,47014.20233567993
1476.6,47111.929215679964
1480.0,47209.656095679995
1483.4,47307.38297568
1486.8,47405.10985568
1490.1999999999998,47502.83673567997
1493.6,47600.563615679974
1497.0,47698.290495680005
1500.4,47796.01737568001
1503.8,47893.74425567998
1507.1999999999998,47991.47113567998
1510.6,48089.198015679984
1514.0,48186.924895679986
1517.4,48284.65177567999
1520.8,48382.37865567999
1524.1999999999998,48480.10553567999
1527.6,48577.83241567999
1531.0,48675.559295679996
1534.4,48773.28617568
1537.8,48871.01305568
1541.1999999999998,48968.73993568
1544.6,49066.46681568
1548.0,49164.193695680005
1551.4,49261.92057568001
1554.8,49359.64745568001
1558.1999999999998,49457.37433567998
1561.6,49555.101215679984
1565.0,49652.828095679986
1568.4,49750.55497568002
1571.8,49848.28185567999
1575.1999999999998,49946.00873567999
1578.6,50043.735615679994
1582.0,50141.462495679996
1585.4,50239.18937568
1588.8,50336.91625568
1592.1999999999998,50434.64313568
1595.6,50532.370015680004
1599.0,50630.096895680006
1602.4,50727.82377568001
1605.8,50825.55065568001
1609.1999999999998,50923.27753567998
1612.6,51021.004415680014
1616.0,51118.731295680016
1619.4,51216.45817568002
1622.8,51314.18505567999
1626.1999999999998,51411.91193567999
1629.6,51509.638815679995
1633.0,51607.36569568
1636.4,51705.09257568
1639.8,51802.81945568
1643.1999999999998,51900.54633568
1646.6,51998.273215680005
1650.0,52096.00009568001
1653.4,52193.72697567998
1656.8,52291.45385568001
1660.1999999999998,52389.18073568001
1663.6,52486.907615680015
1667.0,52584.63449568002
1670.4,52682.36137567999
1673.8,52780.08825568002
1677.1999999999998,52877.81513567999
1680.6,52975.542015679996
1684.0,53073.26889568
1687.4,53170.99577568
1690.8,53268.72265567997
1694.1999999999998,53366.44953568
1697.6,53464.176415679976
1701.0,53561.90329567998
1704.4,53659.63017567998
1707.8,53757.35705567998
1711.1999999999998,53855.083935679984
1714.6,53952.810815679986
1718.0,54050.53769567999
1721.4,54148.26457567999
1724.8,54245.99145567999
1728.1999999999998,54343.718335679994
1731.6,54441.445215679996
1735.0,54539.17209568
1738.4,54636.89897568
1741.8,54734.62585568
1745.1999999999998,54832.352735679975
1748.6,54930.07961567998
1752.0,55027.80649568001
1755.4,55125.53337568001
1758.8,55223.26025567998
1762.1999999999998,55320.987135679985
1765.6,55418.71401567999
1769.0,55516.44089567999
1772.4,55614.16777567999
1775.8,55711.89465567999
1779.1999999999998,55809.621535679995
1782.6,55907.34841568
1786.0,56005.07529568
1789.4,56102.80217568
1792.8,56200.52905568
1796.1999999999998,56298.255935680005
1799.6,56395.98281568001
1803.0,56493.70969568001
1806.4,56591.43657568001
1809.8,56689.16345568001
1813.1999999999998,56786.890335679986
1816.6,56884.61721567999
1820.0,56982.34409567999
1823.4,57080.07097568002
1826.8,57177.79785567999
1830.2,57275.524735680025
1833.6,57373.25161568
1837.0,57470.97849568
1840.3999999999999,57568.70537568
1843.8,57666.43225568
1847.2,57764.159135680005
1850.6,57861.88601568001
1854.0,57959.61289568001
1857.3999999999999,58057.33977568001
1860.8,58155.06665568001
1864.2,58252.793535680015
1867.6,58350.52041568002
1871.0,58448.24729568002
